instance,algorithm,preset,wall_clock_s mean,wall_clock_s std,evaluations mean,evaluations std
A-n32-k5,NSGA2,balanced,50.11298705339432,7.798440949570869,33480.75,189.15042050957098
A-n32-k5,NSGA2,fast,14.14075039625168,1.8935090213342887,12099.75,85.89765942525368
A-n32-k5,NSGA2,thorough,68.54482456445695,8.944973698549571,74803.3,462.8747812939206
A-n32-k5,VEGA,balanced,41.13611088991165,15.833322876933494,34646.75,90.16410477276321
A-n32-k5,VEGA,fast,15.813766610622405,1.7052201561851164,12499.4,39.55462578577431
A-n32-k5,VEGA,thorough,68.178202688694,8.089455691090036,77556.2,124.46500247903157
A-n36-k5,NSGA2,balanced,28.828821074962615,3.7796243487594676,33851.95,264.08660361806824
A-n36-k5,NSGA2,fast,8.456861484050751,1.0258166829257849,12196.7,99.9389813836422
A-n36-k5,NSGA2,thorough,73.77281774282456,8.451614363533777,75579.0,480.5147459263153
A-n36-k5,VEGA,balanced,28.56915749311447,3.4458938930142256,34698.7,77.16291719131326
A-n36-k5,VEGA,fast,8.54844764471054,1.0037000799749778,12545.3,41.423486854173596
A-n36-k5,VEGA,thorough,75.58117702007294,9.039705420924967,77774.7,113.1515518418159
B-n68-k9,NSGA2,balanced,67.57493145465851,8.020602639406311,30485.95,339.9578108499563
B-n68-k9,NSGA2,fast,22.559771847724914,2.7461168642732856,11015.7,108.39309552685887
B-n68-k9,NSGA2,thorough,163.01486616134645,19.08896675130501,68593.25,446.19559966218173
B-n68-k9,VEGA,balanced,69.22068697214127,8.089013731168942,30883.7,46.87508596483399
B-n68-k9,VEGA,fast,22.902267920970917,2.714863726329632,11160.7,44.91875707142975
B-n68-k9,VEGA,thorough,167.04844572544098,19.862549091730134,69168.45,89.8293557691158
B-n78-k10,NSGA2,balanced,89.54080673456193,11.837541691830085,29675.35,299.40630289044765
B-n78-k10,NSGA2,fast,29.025623893737794,3.4668756504555205,10712.75,107.77797597497889
B-n78-k10,NSGA2,thorough,210.17730473279954,20.08272874639303,66265.5,467.21160538938494
B-n78-k10,VEGA,balanced,87.79706959724426,10.83935755604434,29775.85,97.96791902400841
B-n78-k10,VEGA,fast,32.73351641893387,4.281573906949689,10769.45,43.44927471988703
B-n78-k10,VEGA,thorough,232.0675130724907,34.58368936839025,66635.35,71.9234058967564
E-n101-k14,NSGA2,balanced,165.15279359817504,20.776081727074427,29633.3,319.27188545517936
E-n101-k14,NSGA2,fast,59.81118046045303,7.117343207562366,10697.55,139.7706674294864
E-n101-k14,NSGA2,thorough,361.21344791650773,46.399524538409715,66265.1,858.7398294808723
E-n101-k14,VEGA,balanced,162.07151787281038,19.681827846418916,29580.0,55.59818247691888
E-n101-k14,VEGA,fast,60.05538719892502,7.972760427565669,10694.25,47.31626514601929
E-n101-k14,VEGA,thorough,362.81296207904813,44.516701269409765,66180.75,141.0214149471131
M-n151-k12,NSGA2,balanced,352.6580686688423,42.86705416208306,34453.3,185.7916490106741
M-n151-k12,NSGA2,fast,129.4283518910408,15.888849869037891,12474.8,67.27680448009284
M-n151-k12,NSGA2,thorough,838.2562834978104,116.17894470928685,76995.6,413.203581785053
M-n151-k12,VEGA,balanced,355.75759773254396,38.113147660828496,34953.15,79.57338552688736
M-n151-k12,VEGA,fast,130.0222758412361,17.094528155823124,12632.55,25.309609159160793
M-n151-k12,VEGA,thorough,839.9503612995147,108.75292920583925,78337.1,109.68994580419378
