instance,algorithm,preset,wall_clock_s mean,wall_clock_s std,evaluations mean,evaluations std,gd mean,gd std,igd mean,igd std,spread mean,spread std,hv mean,hv std
A-n32-k5,NSGA2,balanced,9.48376282453537,0.07123121977653277,16170.8,156.98394151866893,221.75655471026192,75.19464248447105,156.94000149258144,73.1400701760892,1.1495476271636733,0.09747372214406953,56310.32942167345,14976.863605157334
A-n32-k5,NSGA2,fast,9.398898935317993,0.051075189896508416,16155.0,144.7513294184928,235.78222345114992,53.87345752068871,170.69596031502255,70.89779193449152,1.1022490309534878,0.08572545601990451,57012.26607844806,17263.163723496727
A-n32-k5,NSGA2,thorough,9.515313899517059,0.17111631128299193,16084.5,145.72992323581266,212.58937594306803,55.00766337604853,174.47458171967065,75.81460718787505,1.1259079777789271,0.08595676330979518,61142.62500550932,13630.333566001662
A-n32-k5,VEGA,balanced,9.628639531135558,0.03914994743126161,16686.65,44.69931707944149,55.04210874087439,28.12058943266086,97.42452526734621,36.905270381286435,0.8466782539370081,0.08810821130697351,43632.19289138294,8605.899742073772
A-n32-k5,VEGA,fast,9.632526862621308,0.14123462196939263,16667.9,44.00825281455108,45.70870223313595,20.79370066596009,85.05885416773842,19.27307098267441,0.8400858397434374,0.09641421250928535,39015.327723038194,9620.829288558793
A-n32-k5,VEGA,thorough,9.623391366004943,0.09332048507002544,16689.3,46.13492797162821,44.05096140964379,16.445968555133803,83.62419222231048,31.89325495314389,0.8361761240311454,0.11141903401349926,38477.85263457578,10535.96429836236
A-n36-k5,NSGA2,balanced,9.358448922634125,0.08595907538354665,16270.7,144.5683593540295,151.55870330928062,58.456194557154845,172.03484768105065,57.92717077843393,1.1448928448012157,0.07863042112932932,61909.12612938831,10680.500795321124
A-n36-k5,NSGA2,fast,9.833666694164275,0.6575210249929809,16247.4,116.2806948723648,137.15763417534657,45.638703358726694,158.28288505599656,56.83405544746213,1.1661112651103778,0.07703327517392401,58712.08079168513,12097.74966276974
A-n36-k5,NSGA2,thorough,9.533850860595702,0.18201538157796895,16249.6,111.4712141269993,157.305202626435,42.3620374460389,177.45712056807884,66.09903875992552,1.1442505503894476,0.07349261385279028,62010.21131019946,12858.999256615478
A-n36-k5,VEGA,balanced,9.479977834224702,0.10733048846077087,16699.65,35.977002888540376,50.50811853376105,30.572928559740674,118.83666726407918,57.21042770887898,0.7341611771804636,0.3233288401524965,47669.05823012038,10799.996781450893
A-n36-k5,VEGA,fast,9.54717696905136,0.150404215649813,16739.85,65.8045551134888,42.09728425917807,22.860359244421876,94.56272817525452,39.885757661415646,0.8496827474519183,0.15341409506115883,38784.47890491357,13896.90280755842
A-n36-k5,VEGA,thorough,9.523627996444702,0.12165015630711526,16719.35,59.039928505163,42.58378879015414,21.795963977252846,94.26291223903459,34.620867082200334,0.8731080463271026,0.05949057649182845,41220.272188731105,10815.739859940759
B-n45-k6,NSGA2,balanced,11.319248998165131,1.5721992434169156,12598.95,133.97976084390342,1414212749.0071304,82.11911949928663,1414212714.5948613,91.65491793559102,1.0000000335148886,1.7395185048498113e-08,1.1024987412490145e+18,135916571622.15474
B-n45-k6,NSGA2,fast,10.80252970457077,0.14547772509204396,12610.8,157.18229443614356,1414212748.3132977,90.44592177199912,1414212681.074137,131.5907659788058,1.0000000463992662,3.5217537972213656e-08,1.1024986914704769e+18,195216155563.53033
B-n45-k6,NSGA2,thorough,12.600255846977234,0.33328977224208856,12646.7,148.4258099274905,1414212724.9758923,76.96634157451606,1414212677.454742,102.08274738834021,1.0000000432289853,2.7565761906475936e-08,1.1024986864617265e+18,152286693821.47137
B-n45-k6,VEGA,balanced,13.52110024690628,0.5762843923711489,12094.55,5.404432878373304,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n45-k6,VEGA,fast,11.541920614242553,0.15412588625674611,12091.5,4.684801855047149,494974323.01716566,692059642.1125108,494974323.01716566,692059642.1125108,0.0,0.0,3.874993706689947e+17,5.3829565350906285e+17
B-n45-k6,VEGA,thorough,13.599466741085052,0.31272448652046025,12093.25,3.65448534788373,353553081.0007085,628280312.2771213,353553073.7662336,628280299.4211217,0.04999999257209232,0.22360676453136596,2.7749952953569683e+17,4.8868698811425485e+17
B-n57-k7,NSGA2,balanced,18.405361247062682,0.4894783788241063,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,NSGA2,fast,18.204158449172972,0.6537107717208926,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,NSGA2,thorough,18.36428656578064,0.6109492268197054,12108.05,89.92305190082187,141421175.95409602,435285195.16598517,141421171.6402277,435285181.88817954,0.10000000706947283,0.3077935273849247,1.1249972588715226e+17,3.385720124865628e+17
B-n57-k7,VEGA,balanced,18.088758456707,0.3774103081998822,12080.25,0.7163503994113982,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,VEGA,fast,18.34051649570465,0.6597102737289697,12080.05,0.22360679775010706,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,VEGA,thorough,18.42404148578644,0.6969348060369336,12080.05,0.22360679775063907,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
E-n101-k14,NSGA2,balanced,54.31907062530517,0.4828010777166992,14181.85,146.26122089208076,285.0024742409082,139.47828062799263,332.14028015239825,192.4713037865517,1.1805785660641586,0.08651535275188292,42427.01166524209,11855.789465231206
E-n101-k14,NSGA2,fast,64.33810876607895,1.556122362259759,14258.75,180.17327186554826,327.7948310877954,109.24007830177672,463.08726958040734,135.764486282779,1.1323447108017421,0.06190328956727157,50233.36962184111,7943.477867743731
E-n101-k14,NSGA2,thorough,956.2802933454514,213.61217824718764,14202.8,243.63315823071736,258.39719590142016,143.85731998275895,318.8448374593089,209.0981269561527,1.1694159977370742,0.07747294294082815,41678.17556968552,12343.035311779598
E-n101-k14,VEGA,balanced,102.78077042102814,214.33737530852488,14260.1,39.444698129486426,36.19650780058544,14.988799985249404,104.89458308999788,54.07755909879489,0.7966750688297962,0.2243145251744242,18839.238308110656,4168.71147327708
E-n101-k14,VEGA,fast,61.95590921640396,4.436892422477171,14230.85,39.4251789703239,37.61605319193393,19.791008048967893,120.34568568549284,62.131504854180456,0.7743736107189726,0.2225118306366954,19421.00843933033,4157.093831981516
