instance,instance_internal,category,algorithm,preset,seed,wall_clock_s,evaluations,gd,igd,spread,hv
A-n32-k5,small_01,small,NSGA2,fast,1006,14.45447325706482,11937,16.647298136105302,25.91718553395088,1.0366026265072448,30414.0905535354
A-n32-k5,small_01,small,NSGA2,fast,1004,14.761511325836182,12224,25.46410603196177,37.475352706704946,0.9385474452151849,15359.070597507727
A-n32-k5,small_01,small,NSGA2,fast,1005,14.71754789352417,12003,9.630891149503432,17.330147721031242,0.988787519578147,29412.960878853482
A-n32-k5,small_01,small,NSGA2,fast,1003,14.938279151916504,12161,9.682180093425279,22.306522196882444,1.1127831255378555,7522.330436029934
A-n32-k5,small_01,small,NSGA2,fast,1001,15.061628818511963,12216,47.475851072614944,42.68020832469168,1.3132855331648692,0.0
A-n32-k5,small_01,small,NSGA2,fast,1000,15.078300952911377,12080,5.910425513739006,12.968854955363547,1.107571089469951,19872.050100634628
A-n32-k5,small_01,small,NSGA2,fast,1002,15.129584789276123,12177,17.465217162972518,47.781601441738225,1.2250949051929376,8379.275872283126
A-n32-k5,small_01,small,NSGA2,fast,1007,15.221179008483887,12046,45.99819656686934,83.1311231089532,1.0756308220733237,9203.760717630174
A-n32-k5,small_01,small,NSGA2,fast,1008,15.164241790771484,12217,23.646149215744277,34.401689544544645,0.8837173069472828,30150.550205224044
A-n32-k5,small_01,small,NSGA2,fast,1010,15.117601871490479,12124,21.362706934935606,26.142827529272047,1.0645792705727462,5593.422242042648
A-n32-k5,small_01,small,NSGA2,fast,1011,15.076428174972534,12206,14.9693216104199,18.03086461931217,1.2272913432771564,7761.293262310318
A-n32-k5,small_01,small,NSGA2,fast,1012,15.070673942565918,12036,26.140120374483747,69.89253217704767,0.9146611529592616,19113.407203822662
A-n32-k5,small_01,small,NSGA2,fast,1013,15.211618185043335,12080,18.69931228493551,23.25430579318304,0.8237216381396352,31052.23276761485
A-n32-k5,small_01,small,NSGA2,fast,1014,15.166670799255371,12038,23.649558314601833,20.45364033854223,1.130413261002291,0.0
A-n32-k5,small_01,small,NSGA2,fast,1009,15.555462837219238,12027,29.466860535210397,24.990438230865138,1.0013003707900336,20015.65728379865
A-n32-k5,small_01,small,NSGA2,fast,1015,15.180831909179688,12180,19.290875237541467,32.994248682272406,0.8757916618262402,17313.768549249795
A-n32-k5,small_01,small,NSGA2,fast,1017,10.38621997833252,11994,17.384183624875373,12.295486232367297,0.9350826580568413,12414.114515134874
