instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n32-k5,NSGA2,fast,1000,218.02938111418078,167.46871585189504,44343.49093924079,7.276839656176934
A-n32-k5,NSGA2,fast,1001,233.47019164477368,237.24381038190535,51923.204525484696,5.375356942581002
A-n32-k5,NSGA2,fast,1002,111.28305359643659,66.46338639233561,21143.73326145689,32.688244848461444
A-n32-k5,NSGA2,fast,1003,226.30088688757183,130.493154147459,39809.10795749606,20.752516406777875
A-n32-k5,NSGA2,fast,1004,240.30703754356182,164.78550440775876,44060.80640285888,19.717261145660242
A-n32-k5,NSGA2,fast,1005,246.59821851717075,107.47953590341788,35806.39902029059,19.114290845849354
A-n32-k5,NSGA2,fast,1006,226.4061565107317,74.80243482187353,25219.598821189382,20.24980464115807
A-n32-k5,NSGA2,fast,1007,246.0037540509215,199.21801044549136,48604.76362276712,6.4825204814358806
A-n32-k5,NSGA2,fast,1008,226.1510719421678,79.1973957065523,28103.933903275924,21.94591558651789
A-n32-k5,NSGA2,fast,1009,210.87344299780918,216.08360587009835,50722.68188866595,6.744872441940096
A-n32-k5,NSGA2,fast,1010,231.45561859977263,85.98681191004579,24990.799604922246,29.228741448011977
A-n32-k5,NSGA2,fast,1011,232.58417843334232,84.92232596893854,28978.266747467653,29.719337679182598
A-n32-k5,NSGA2,fast,1012,247.00099510129394,84.02599914521883,29930.92389180967,21.470473186575838
A-n32-k5,NSGA2,fast,1013,245.0208248697092,177.06838974943852,45760.59055419268,10.178275366565039
A-n32-k5,NSGA2,fast,1014,268.4344488662838,112.4419892564633,17933.679163021396,48.6687732319211
A-n32-k5,NSGA2,fast,1015,206.345431055026,211.17784145927396,49733.94213974607,8.082809238871741
A-n32-k5,NSGA2,fast,1016,198.4625484512528,160.35266063021498,43427.95259828899,17.398754843286174
A-n32-k5,NSGA2,fast,1017,155.47646589419367,75.27277700512785,11145.826654333765,49.73992202611725
A-n32-k5,NSGA2,fast,1018,146.00212933302848,174.26092760560752,45138.4858384649,8.438083315288448
A-n32-k5,NSGA2,fast,1019,205.0466815627664,118.1901605320599,10014.091300819955,48.1113816831356
