instance,category,preset,best,avg,worst,time_avg,improvement_avg,dp_cap_baseline
small_01,small,equal_split,,827.6546217861388,,0.0,,
small_01,small,dp_optimal_split,,552.8091692811009,,0.0,,
small_01,small,dp_split_capacity,,650.5813331062888,,0.0,,650.5813331062888
small_01,small,fast,456.282062319035,464.9170691704335,473.1354340154633,0.12314357757568359,28.53820951938108,650.5813331062888
small_01,small,balanced,450.83111634932834,458.46308019236574,469.86910460355136,0.6045549392700196,29.5302436663266,650.5813331062888
small_01,small,thorough,443.9408445315913,450.34476795660777,455.8799375789943,1.8000470876693726,30.778098749563622,650.5813331062888
small_02,small,equal_split,,1083.7920856012538,,0.0,,
small_02,small,dp_optimal_split,,803.7545203912168,,0.0,,
small_02,small,dp_split_capacity,,941.8552425619124,,0.0,,941.8552425619124
small_02,small,fast,623.9912455349926,658.8296809351511,678.7520130910118,0.23386707305908203,30.049794154875837,941.8552425619124
small_02,small,balanced,609.798928889503,624.8810367974503,635.1778868305145,1.160338854789734,33.65423808676479,941.8552425619124
small_02,small,thorough,612.9590166991668,619.279870398949,628.7333487911062,3.5169894695281982,34.24893312538515,941.8552425619124
medium_01,medium,equal_split,,1839.9039344490193,,0.0,,
medium_01,medium,dp_optimal_split,,1299.959866807053,,0.0,,
medium_01,medium,dp_split_capacity,,1939.9633261501895,,0.0,,1939.9633261501895
medium_01,medium,fast,1481.0886495005707,1531.3797002805381,1555.3396597542483,0.2931802988052368,21.061409788631188,1939.9633261501895
medium_01,medium,balanced,1494.8427481629428,1507.644491185802,1527.619699636228,1.4565316677093505,22.284897303822422,1939.9633261501895
medium_01,medium,thorough,1470.3516537456317,1485.912436154123,1512.9269722230074,4.328632450103759,23.40512750295747,1939.9633261501895
medium_02,medium,equal_split,,2101.8402934950427,,0.0,,
medium_02,medium,dp_optimal_split,,1267.077070258621,,0.0,,
medium_02,medium,dp_split_capacity,,2549.1897929602615,,0.0,,2549.1897929602615
medium_02,medium,fast,2090.124187798782,2132.7968810450157,2166.8632263606423,0.47965183258056643,16.334323676688953,2549.1897929602615
medium_02,medium,balanced,2090.124187798782,2096.8568545618027,2115.8515267330718,2.3759466648101806,17.744184432544124,2549.1897929602615
medium_02,medium,thorough,2090.124187798782,2091.352153348799,2097.246005660807,7.121947264671325,17.960123678347074,2549.1897929602615
large_01,large,equal_split,,2696.0760101735714,,0.0,,
large_01,large,dp_optimal_split,,1381.561793284404,,0.0,,
large_01,large,dp_split_capacity,,2479.0159108826374,,0.0,,2479.0159108826374
large_01,large,fast,2121.222174780854,2131.940072595956,2152.8285888354626,0.6835720539093018,14.000549038957448,2479.0159108826374
large_01,large,balanced,2121.222174780854,2124.1229934162416,2133.9027653701028,3.3275729417800903,14.315878970701661,2479.0159108826374
large_01,large,thorough,2121.222174780854,2121.2221747808544,2121.222174780855,9.877144861221314,14.43289389677185,2479.0159108826374
large_02,large,equal_split,,4894.371692544555,,0.0,,
large_02,large,dp_optimal_split,,2433.673971964596,,0.0,,
large_02,large,dp_split_capacity,,4591.855182193671,,0.0,,4591.855182193671
large_02,large,fast,4033.647084281816,4091.1063014729757,4155.13572407618,1.6846498012542725,10.905154035835071,4591.855182193671
large_02,large,balanced,4038.271080899225,4045.7116510856663,4054.7737638110207,8.423511576652526,11.8937446726509,4591.855182193671
large_02,large,thorough,4019.522158704953,4036.4835638099203,4061.5379896344434,25.18540668487549,12.09471109928237,4591.855182193671
