instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n32-k5,NSGA2,balanced,1000,236.11017287981386,125.3175172649919,24348.05190323057,35.361379644936896
A-n32-k5,NSGA2,balanced,1001,281.73436300973765,296.8921662405685,49288.43553431957,11.030530706824052
A-n32-k5,NSGA2,balanced,1002,278.2140361305941,74.70849126370112,16863.452486234222,39.16398665713537
A-n32-k5,NSGA2,balanced,1003,252.84438961498108,266.0644159931495,45052.099931662044,14.47297176935427
A-n32-k5,NSGA2,balanced,1004,190.74365817825907,128.54945499851002,26195.713089340254,28.416780865931194
A-n32-k5,NSGA2,balanced,1005,267.8084828602656,263.81294855536805,44661.43847795081,17.737626601730387
A-n32-k5,NSGA2,balanced,1006,259.73638764548826,279.7605498106241,45885.7545313322,15.64867490879846
A-n32-k5,NSGA2,balanced,1007,167.25235519244478,187.03040333081435,34649.0962296023,31.223538187151064
A-n32-k5,NSGA2,balanced,1008,258.9319417600539,294.1002438389902,48670.52953632492,11.700335261225819
A-n32-k5,NSGA2,balanced,1009,68.37163558168763,159.79527674215416,30426.51921614472,21.556413645561413
A-n32-k5,NSGA2,balanced,1010,253.88374252215831,135.34374707686231,26086.462134328885,31.15985693333306
A-n32-k5,NSGA2,balanced,1011,236.6930586151957,371.40691882331015,57748.45118801748,9.213516979225577
A-n32-k5,NSGA2,balanced,1012,32.4209395453918,9.910920421282574,9345.881710549576,27.55579255182901
A-n32-k5,NSGA2,balanced,1013,118.60553364312413,120.72694611775907,24536.87840021409,24.409404161568116
A-n32-k5,NSGA2,balanced,1014,89.05132002021578,129.50097157574544,25445.63669781302,28.305398741911237
A-n32-k5,NSGA2,balanced,1015,244.49280119722462,253.58926617145298,43333.49092167547,18.026973556408862
A-n32-k5,NSGA2,balanced,1016,259.0327347891968,417.62446553293086,63437.61526567448,9.042799501192961
A-n32-k5,NSGA2,balanced,1017,269.08456672221047,161.20635248326366,31125.67179542927,18.02644264584286
A-n32-k5,NSGA2,balanced,1018,272.1677775751464,412.64017145830945,62225.94689716126,4.889480961162838
A-n32-k5,NSGA2,balanced,1019,267.29902706985433,175.9493165338023,32735.524787253373,29.134495428611324
A-n32-k5,VEGA,balanced,1000,38.57353073237245,254.3544841959393,41521.77474445416,18.910410559635526
A-n32-k5,VEGA,balanced,1001,42.011289299769984,145.31026462276424,26029.95363467635,32.65403147645352
A-n32-k5,VEGA,balanced,1002,94.74499688126387,262.65475147098255,35280.82446198186,0.0
A-n32-k5,VEGA,balanced,1003,10.262822660496285,118.57759489198473,23504.103794363255,40.69439156229543
A-n32-k5,VEGA,balanced,1004,10.635938412651367,83.02453285191939,17161.20693554016,23.595934408211328
A-n32-k5,VEGA,balanced,1005,31.565832705234538,116.69779487214635,22273.048249298063,23.11901868058736
A-n32-k5,VEGA,balanced,1006,49.2991192518263,56.417535599065836,13966.601101603348,33.96924281648149
A-n32-k5,VEGA,balanced,1007,36.177135196904004,55.15213427819231,12789.10197270913,44.106585077508555
A-n32-k5,VEGA,balanced,1008,32.08474879112692,155.23605320804828,25707.651533598084,17.686068284351283
A-n32-k5,VEGA,balanced,1009,43.964471354838764,167.64166809131868,27911.24500238715,36.045719215765764
A-n32-k5,VEGA,balanced,1010,64.50767272505956,124.47119086159934,22340.740555975797,16.56488584358143
A-n32-k5,VEGA,balanced,1011,52.84234835457355,162.39272631180125,28486.71147482842,70.60529870723337
A-n32-k5,VEGA,balanced,1012,47.71237670388414,206.46082214965003,35978.992992533524,42.385548528335185
A-n32-k5,VEGA,balanced,1013,21.774954940347897,243.7180669112324,36318.02146348658,3.2492238012894514
A-n32-k5,VEGA,balanced,1014,114.68886047822116,262.55071802719186,39477.02190301846,33.52698601879063
A-n32-k5,VEGA,balanced,1015,19.853787234130348,116.04165624861581,20653.34456006718,42.7155373214653
A-n32-k5,VEGA,balanced,1016,72.86179133858957,173.23538237161398,28982.631335710474,24.227529329059376
A-n32-k5,VEGA,balanced,1017,65.21948404809012,99.93302688043902,19754.315283819786,44.67626367737434
A-n32-k5,VEGA,balanced,1018,31.10683546771012,198.44766311556742,33159.0503373693,34.06539452624756
A-n32-k5,VEGA,balanced,1019,7.719622077340304,160.96447124267235,25286.539681746337,42.141282010992
A-n36-k5,NSGA2,balanced,1000,87.15749930710048,84.85828828467129,11125.78922948316,31.500354572209847
A-n36-k5,NSGA2,balanced,1001,207.7557802851232,196.79222885368932,38664.48155483466,8.357853777964158
A-n36-k5,NSGA2,balanced,1002,53.456292625805915,58.27699709592645,18922.129114664313,14.893902330927117
