size,preset,algorithm,mean,std,min,max,count
medium,balanced,NSGA2,12.339766025543211,,12.339766025543211,12.339766025543211,1
medium,balanced,VEGA,13.076015710830688,,13.076015710830688,13.076015710830688,1
unknown,balanced,NSGA2,10.068446040153503,0.821315468344398,9.487688302993774,10.649203777313232,2
unknown,balanced,VEGA,10.170694589614868,0.8790021970760492,9.54914617538452,10.792243003845217,2
