instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n32-k5,NSGA2,fast,1000,193.6775510606072,211.05726820138733,64090.43682286447,10.348204554757459
A-n32-k5,NSGA2,fast,1001,239.21612004440416,248.60041899792628,67619.36652538627,5.217810475805434
A-n32-k5,NSGA2,fast,1002,76.46094969104202,77.80191942448018,37129.68775179159,20.96941028139265
A-n32-k5,NSGA2,fast,1003,212.82745706225737,141.84805368703712,55863.38013916615,15.825863134674057
A-n32-k5,NSGA2,fast,1004,181.71589633650473,176.14158168751325,59927.106615331206,13.233302576603647
A-n32-k5,NSGA2,fast,1005,205.6006547823909,118.83460345493721,51595.56591687176,14.191032278593914
A-n32-k5,NSGA2,fast,1006,211.490054369726,86.14868425631258,41233.74623836218,17.559313182385964
A-n32-k5,NSGA2,fast,1007,242.3428447971131,210.5742019611531,64613.32804430666,6.042507482025376
A-n32-k5,NSGA2,fast,1008,219.5778007897189,90.54601142336202,44198.97953305435,18.02807057698869
A-n32-k5,NSGA2,fast,1009,206.41007488902628,227.43984397270287,66793.87033484736,5.770653269047017
A-n32-k5,NSGA2,fast,1010,222.19188748784308,97.33585238194739,40794.191999162715,24.973168087736013
A-n32-k5,NSGA2,fast,1011,212.08297972610413,96.2718372495583,45068.814248000745,24.636531470379442
A-n32-k5,NSGA2,fast,1012,237.30285541995582,95.37673069824437,45980.49386412765,18.375042100626974
A-n32-k5,NSGA2,fast,1013,235.58474621267152,188.42449074900443,61693.0189331644,8.854272583133351
A-n32-k5,NSGA2,fast,1014,266.09409733364384,123.76826647434187,33903.14042909631,38.79200117787074
A-n32-k5,NSGA2,fast,1015,172.58455300041226,222.53421953469996,65657.33177666846,6.357170035413159
A-n32-k5,NSGA2,fast,1016,190.6934452536242,171.7087311059365,59268.18134181386,12.840500062388475
A-n32-k5,NSGA2,fast,1017,121.67737427832205,86.48333486120431,27024.528681602224,31.432717520594085
A-n32-k5,NSGA2,fast,1018,129.89190119249434,128.7915729579909,21280.047575274475,42.924570085673615
A-n32-k5,NSGA2,fast,1019,200.0831161393923,129.26327249799832,26040.80073990549,43.480614608066915
A-n32-k5,VEGA,fast,1000,15.775150710802187,54.781188843291915,38853.96840215546,49.098231490438984
A-n32-k5,VEGA,fast,1001,42.42726807714656,72.36770774535213,35651.68288494213,32.66035433847856
A-n32-k5,VEGA,fast,1002,28.72271431086995,75.1576909640945,28209.876665684063,80.84933367536546
A-n32-k5,VEGA,fast,1003,29.837224519200504,63.98338016155939,35493.719756765146,13.953386615467545
A-n32-k5,VEGA,fast,1004,22.494715359954114,45.36131686402997,25123.535453450513,19.238438491872778
A-n32-k5,VEGA,fast,1005,15.4762435370892,61.676079611091374,35612.80465089843,28.68207076203552
A-n32-k5,VEGA,fast,1006,43.83154221919048,99.27626577818864,40931.889864178054,30.40556830534174
A-n32-k5,VEGA,fast,1007,26.58040517993445,65.34414102019504,39446.852421674615,11.853312412726101
A-n32-k5,VEGA,fast,1008,23.441418962166818,68.00448874288864,35722.96779104083,24.08855640645921
A-n32-k5,VEGA,fast,1009,19.356605024419775,59.798909588140766,34109.34643071945,54.116964561655784
A-n32-k5,VEGA,fast,1010,28.86719769012139,62.290346797688244,38236.45850630566,16.27678353150661
A-n32-k5,VEGA,fast,1011,9.16292981557369,45.375748554905684,7264.01339243762,156.16990775555385
A-n32-k5,VEGA,fast,1012,64.97751401628696,85.29798055436196,35092.408917113564,70.8643944259625
A-n32-k5,VEGA,fast,1013,32.66093984189519,81.05985180516345,29454.721394919252,86.97459817361529
A-n32-k5,VEGA,fast,1014,17.142804102042007,43.04414214330374,30814.569522710546,34.365573713928605
A-n32-k5,VEGA,fast,1015,45.09152827199628,80.51983707177641,42126.65455365752,20.04825906221026
A-n32-k5,VEGA,fast,1016,30.154865438131637,69.43395730153927,39392.54744381738,12.730613882640494
A-n32-k5,VEGA,fast,1017,27.10045974376894,58.31964817601204,20763.94218576641,75.52600580715468
A-n32-k5,VEGA,fast,1018,28.794976899237053,72.6035706287518,34332.77982337268,73.52462386117313
A-n32-k5,VEGA,fast,1019,32.13288226707758,63.47132757936291,28405.0345243414,72.12819944056417
A-n36-k5,NSGA2,fast,1000,183.29204559276587,233.521463278349,70319.49542358198,6.767720824214894
A-n36-k5,NSGA2,fast,1001,137.70269449539228,101.60494287608537,42072.9398647591,19.33113496592247
A-n36-k5,NSGA2,fast,1002,170.7838930883201,184.45113368223124,64543.753071463565,13.237980354871597
A-n36-k5,NSGA2,fast,1003,98.09757124642817,108.9629380160922,51248.01939412338,16.890664395857478
A-n36-k5,NSGA2,fast,1004,225.1124182255027,263.52740045430295,73755.52851054796,4.4886482076395895
