instance,algorithm,preset,gd_fixed mean,gd_fixed std,igd_fixed mean,igd_fixed std,hv_fixed mean,hv_fixed std,spread_proxy mean,spread_proxy std
A-n32-k5,NSGA2,fast,198.8753179933627,45.44893189893715,146.4475447788869,55.66080480024246,48988.80087553991,14822.795105764037,18.99263777720785,12.06911208442152
A-n32-k5,VEGA,fast,29.20146929934524,12.66102017826474,66.35837899658489,14.036689810216462,32751.988729297533,8141.763410023609,48.177758835707564,36.16572701658525
A-n36-k5,NSGA2,fast,132.77766885941557,45.586043383325176,155.00015167847246,49.46341502570941,55955.94667159227,11530.351673162017,16.258587982963917,8.072579757700568
A-n36-k5,VEGA,fast,41.09176379670238,26.081373625678165,92.15544994141138,37.08566226508858,36702.50481470317,13172.055315162803,35.85969153923666,42.925834652642536
B-n45-k6,NSGA2,fast,1414212748.3132977,90.44592177199912,1414212681.0741372,131.59076594100938,1.1024986914704769e+18,195216155563.53033,16.89766158570325,13.068089225721456
B-n45-k6,VEGA,fast,494974323.01716566,692059642.1125108,494974323.01716554,692059642.1125108,3.874993706689947e+17,5.3829565350906285e+17,0.0,0.0
